SEVERITY: Error
  GROUP: Interconnectivity : 22 Error(s)
    drc-OUT-GROUND - [flatnet : GND, component: IC-Shelter\RS-485-Externa\$1I138, pin: GND] OUT pin connected to Ground pin
    drc-OUT-GROUND - [flatnet : GND, component: IC-Shelter\RS-485-LCD\$1I39, pin: GND] OUT pin connected to Ground pin
    drc-OUT-GROUND - [flatnet : GND, component: IC-Shelter\RS-485-LCD\$1I54, pin: GND] OUT pin connected to Ground pin
    drc-OUT-GROUND - [flatnet : GND, component: IC-Shelter\CONTROL\$1I72, pin: VSS/VSSA] OUT pin connected to Ground pin
    drc-OUT-GROUND - [flatnet : GND, component: IC-Shelter\CONTROL\$1I72, pin: VSS2] OUT pin connected to Ground pin
    drc-OUT-GROUND - [flatnet : GND, component: IC-Shelter\CONTROL\$1I206, pin: GND] OUT pin connected to Ground pin
    drc-OUT-GROUND - [flatnet : GND, component: IC-Shelter\POWER_SUPPLY\$1I137, pin: IN-] OUT pin connected to Ground pin
    drc-OUT-POWER - [flatnet : +5.0V, component: IC-Shelter\RS-485-Externa\$1I138, pin: VCC] OUT pin connected to Power pin
    drc-OUT-POWER - [flatnet : +5.0V, component: IC-Shelter\RS-485-LCD\$1I54, pin: VCC] OUT pin connected to Power pin
    drc-OUT-POWER - [flatnet : +5.0V, component: IC-Shelter\CONTROL\$1I72, pin: VDDA] OUT pin connected to Power pin
    drc-OUT-POWER - [flatnet : +5.0V, component: IC-Shelter\CONTROL\$1I72, pin: VDD2] OUT pin connected to Power pin
    drc-OUT-POWER - [flatnet : +5.0V, component: IC-Shelter\CONTROL\$1I72, pin: VDD] OUT pin connected to Power pin
    drc-OUT-POWER - [flatnet : +5.0V, component: IC-Shelter\POWER_SUPPLY\$1I137, pin: IN+] OUT pin connected to Power pin
    drc-OUT-POWER - [flatnet : GND, component: IC-Shelter\RS-485-LCD\$1I54, pin: GND] OUT pin connected to Power pin
    drc-OUT-POWER - [flatnet : GND, component: IC-Shelter\POWER_SUPPLY\$1I36, pin: -Vo] OUT pin connected to Power pin
    drc-POWER-GROUND - [flatnet : GND, component: IC-Shelter\RS-485-Externa\$1I138, pin: GND] Power pin connected to Ground pin
    drc-POWER-GROUND - [flatnet : GND, component: IC-Shelter\RS-485-LCD\$1I39, pin: GND] Power pin connected to Ground pin
    drc-POWER-GROUND - [flatnet : GND, component: IC-Shelter\CONTROL\$1I72, pin: VSS/VSSA] Power pin connected to Ground pin
    drc-POWER-GROUND - [flatnet : GND, component: IC-Shelter\CONTROL\$1I72, pin: VSS2] Power pin connected to Ground pin
    drc-POWER-GROUND - [flatnet : GND, component: IC-Shelter\CONTROL\$1I206, pin: GND] Power pin connected to Ground pin
    drc-POWER-GROUND - [flatnet : GND, component: IC-Shelter\POWER_SUPPLY\$1I36, pin: -Vo] Power pin connected to Ground pin
    drc-POWER-GROUND - [flatnet : GND, component: IC-Shelter\POWER_SUPPLY\$1I137, pin: IN-] Power pin connected to Ground pin

22 Error(s), 0 Warning(s), 0 Note(s), 
